School Code,School Name,School Address1,School Address2,School City,School Province,School Postal Code,School Phone
0302,Pacekids Programs South,23 Sunpark Drive SE,,Calgary,AB,T2X3V1,(403) 234-7876
0305,Immanuel Christian Elementary School,2010 - 5 Avenue N.,,Lethbridge,AB,T1H0N5,(403) 317-7860
0308,Mountain View Academy,3915 34 Street NE,,Calgary,AB,T1Y6Z8,(403) 217-4346
0311,Holy Family Cyber High School,8801 - 96 Street,,Peace River,AB,T8S1R6,(780) 624-5659
0312,Pine Haven School,R.R. 2,,Wetaskiwin,AB,T9A1W9,(780) 352-2757
0313,Monsignor J. S. Smith School,2919 Douglasdale Boulevard S.E,,Calgary,AB,T2Z2H9,(403) 500-2069
0314,Morinville Learning Centre,9820 - 104 Street,,Morinville,AB,T8R1L8,(780) 939-4341
0319,Peace Academy of Virtual Education,#105 10720  117 Avenue ,"
",Grande Prairie,AB,T8V7N7,(780) 864-3741
0323,Yellowhead Koinonia Christian School,430 - 72 Street,,Edson,AB,T7E1N3,(780) 723-3850
0324,Chipewyan Prairie Dene High School,General Delivery,,Chard,AB,T0P1G0,(780) 559-2478
0325,Transitions at the Y,11832 103 Street NW,,Edmonton,AB,T5J2J2,(780) 451-8190
0326,Battle River Online,"Suite 2, 4412 56 St",,Camrose,AB,T4V5K4,(780) 672-2205
0327,The Learning Connection - Grande Cache,P.O. Box 1050,,Grande Cache,AB,T0E0Y0,(780) 827-5228
0333,Ascension of Our Lord,509 Harvest Hills Drive N.E.,,Calgary,AB,T3K4G9,(403) 500-2075
0334,Lightning Ridge Education Centre,Grande Cache Institution,"
Bag 4000",Grande Cache,AB,T0E0Y0,(780) 827-4200
0335,Connect Charter School,5915 Lewis Drive S.W.,,Calgary,AB,T3E5Z4,(403) 282-2890
0336,Ralph McCall School,1505 - 1 Avenue N.W.,,Airdrie,AB,T4B2L9,(403) 948-7030
0338,J. J. Nearing Catholic Elementary School,196 Deer Ridge Drive,,St. Albert,AB,T8N6T6,(780) 418-6330
0339,Red Earth Creek School,P.O. Bag 6000,,Red Earth Creek,AB,T0G1X0,(780) 649-3898
0340,Palliser Beyond Borders at Coaldale,Box 1237,"
1915 - 20 Avenue",Coaldale,AB,T1M1L8,(403) 345-4421
0341,Glenrose Colony School,435A Highway 1,,Strathmore,AB,T1P1J4,(403) 934-5121
0342,Twin Creeks School,435A Highway 1,,Strathmore,AB,T1P1J4,(403) 934-5121
0344,Personalized Learning Activities and Community Education,9353 50th street,,Edmonton,AB,T6B2L5,(780) 488-6600
0346,St. Martin De Porres High School,410 Yankee Valley Boulevard SW,,Airdrie,AB,T4B2M1,(403) 500-2041
0348,Midsun School,660 Sunmills Dr SE,,Calgary,AB,T2X3R5,(403) 777-6430
0349,Argyll Home School Centre,6859 - 100 Avenue,,Edmonton,AB,T6A0G3,(780) 465-1299
0367,Ecole Nouvelle Frontiere,11201- Pinnacle Boulevard,,Grande Prairie,AB,T8W0C6,(780) 814-7945
0369,Tofield Colony School,5402 - 48A Avenue,,Camrose,AB,T4V0L3,(780) 672-6131
0374,Carousel Children's Centre,3 Windsor Crescent S.W.,,Calgary,AB,T2V1V4,(403) 255-8664
0375,Lakeside Outreach School,Box 127,,Slave Lake,AB,T0G2A0,(780) 849-2992
0378,St. Gabriel Education Centre,6 St. Vital Avenue,"
Lower Level",St. Albert,AB,T8N1K2,(780) 459-6616
0379,Burman University,5415 College Avenue,,Lacombe,AB,T4L2E5,(403) 342-5044
0380,Portage College - St. Paul Campus,Box 1471,"
5205-50 Avenue",St. Paul,AB,T0A3A0,(780) 645-5223
0381,Portage College-Cold Lake Campus,101-7825-51 Street,,Cold Lake,AB,T9M0B6,(780) 623-5532
0383,Red Deer College,P.O. Box 5005,,Red Deer,AB,T4N5H5,
0384,Golden Hills Learning Academy,116 3rd Avenue,,Strathmore,AB,T1P1B9,(403) 934-5179
0385,Rainbow Colony School,C/O Chinook's Edge School Divi,"
4904 50St",Innisfail ,AB,T4G1W4,(403) 227-4611
0386,Learning Store on Whyte,10007 - 82 Avenue,,Edmonton,AB,T6E1Z2,(780) 437-8119
0387,The Hamptons School,10330 Hamptons Blvd NW,,Calgary,AB,T3A6G2,(403) 777-7300
0389,Holy Angels School,275 Riverglen Drive SE,,Calgary,AB,T2C3T5,(403) 500-2101
0390,St. Ambrose School,1500 Arbour Lake Road N.W.,,Calgary,AB,T3G4X9,(403) 500-2100
0391,St. Mary's School,42 Cimarron Trail,,Okotoks,AB,T1S2A8,(403) 938-8048
0392,Lone Pine Colony School,5031 - 50 Street,"
Box 1720",Stettler,AB,T0C2L0,(403) 741-9342
0393,Silver Sage Colony School,918 - 2nd Ave.,,Dunmore,AB,T1B0K3,(403) 666-2006
0401,Vegreville Next Step III Outreach School,Box 696,,Vegreville,AB,T9C1R7,(780) 632-7998
0404,Airdrie Learning Connection,120 Main Street SE,,Airdrie,AB,T4B0P8,(403) 948-4360
0405,Sun Country Christian School,Bag 6000,,Bow Island,AB,T0K0G0,(403) 545-4244
0424,Playcare ECS,92 Canova Road S.W.,,Calgary,AB,T2W2A7,(403) 590-0814
0428,Edge School,33055 Township Road 250,,Calgary,AB,T3Z1L4,(403) 246-6432
0430,Greenwood Colony School,P.O. Box 1510,"
",Fort Macleod,AB,T0L0Z0,(403) 553-4750
0431,Rosedale Christian School,"RR #1, Box 10, Site 5",,Crooked Creek,AB,T0H0Y0,(780) 957-2362
0432,New Heights School and Learning Services,2521 Dieppe Ave SW,,Calgary,AB,T3E7J9,(403) 240-1312
0433,Blessed Sacrament Outreach School,801 - 2 Avenue,,Wainwright,AB,T9W1C4,(780) 842-3944
0434,Ecole des Quatre-Vents,7401 - 99 Street,,Peace River,AB,T8S1R4,(780) 624-3015
0435,Prairie View Outreach School,P.O. Box 1447,,High Prairie,AB,T0G1E0,(780) 523-4200
0437,Renfrew Educational Services-Bowness Centre,2050 - 21 Street N.E.,,Calgary,AB,T2E6S5,(403) 291-5038
0438,Ecole Saint-Christophe,214 - 8 Street,,Wainwright,AB,T9W2R2,(780) 842-2827
0439,St. Joseph's Collegiate,408 - 1st Street West,,Brooks,AB,T1R0V8,(403) 362-5989
0441,Kayas Cultural College,P.O. Box 99,,John D'or Prairie,AB,T0H3X0,(780) 659-3760
0442,Alpine Children's Centre,3 Windsor Crescent S.W.,,Calgary,AB,T2V1V4,(403) 255-8664
0443,Bonavista Children's Centre,3 Windsor Crescent S.W.,,Calgary,AB,T2V1V4,(403) 255-8664
0444,Bow Valley High School,2000 River Heights Drive,,Cochrane,AB,T4C1Y8,(403) 932-9005
0474,Garden River School,Box 29,,John D'or Prairie,AB,T0H3X0,(780) 659-2117
0475,John D'Or School,Box 99,,John D'or Prairie,AB,T0H3X0,(780) 759-2030
0478,Eastside Christian Academy,1320 Abbeydale Drive SE,,Calgary,AB,T2A7L8,(403) 569-1003
0481,I.V. Macklin Public School,8876 - 108 Avenue,,Grande Prairie,AB,T8X1N7,(780) 513-3391
0482,Heart Valley Christian School,R.R. 1,,Wanham,AB,T0H3P0,(780) 694-2609
0483,Thomas More Academy,"Centre 170, Suite 145","
10403 - 172 St",Edmonton,AB,T5S1K9,(780) 440-0708
0484,Amiskwaciy Academy,101 Airport Road,,Edmonton,AB,T5G3K2,
0485,Newman Theological College,c/o School of Hope,"
10012 - 84 Street",Edmonton,AB,T6A0B2,(780) 477-2993
0486,Prairie Land Outreach School,P.O. Box 1270,,Hanna,AB,T0J1P0,(403) 854-3642
0487,Spirit of the North Community School,10801 - 102 Street,,High Level,AB,T0H1Z0,
0488,West Country Outreach School,Box 375,,Rimbey,AB,T0C2J0,(403) 843-4447
0489,Mother Teresa,79 Old Boomer Road,,Sylvan Lake,AB,T4S1Z4,(403) 887-6371
0519,Notre Dame Collegiate,1500 High Country Drive N.W.,,High River,AB,T1V1T7,(403) 652-2231
0520,Ecole Les Cypres,"945 1st Avenue, SE",,Medicine Hat,AB,T1A2K6,(403) 528-2881
0521,Tiny Treasures Ellenwood,200 Rivercrest Dr. SE,"
Unit 201",Calgary,AB,T2C2X5,(403) 818-4128
0524,École Fox Run School,2 Falcon Ridge Drive,,Sylvan Lake,AB,T4S2H1,(403) 887-0491
0528,Aboriginal Head Start - St. Francis Site,6770-129th Avenue,,Edmonton,AB,T5C1V7,(780) 640-9799
0531,Visions West School,4934 - 50 Street,,Rocky Mountain House,AB,T4T1A5,(403) 844-2355
0532,Two Hills Mennonite School,P.O. Box 720,,Two Hills,AB,T0B4K0,(780) 657-2434
0533,Vermilion Outreach School,5110 46 Street,,Vermilion,AB,T9X1G5,(780) 853-2111
0534,Livingstone Colony School,PO Box 129,"
",Lundbreck,AB,T0K1H0,
0535,Hidden Valley School,10959 Hidden Valley Dr  NW,,Calgary,AB,T3A6J2,(403) 777-7236
0536,Crossing Park School,500 Martindale Blvd NE,,Calgary,AB,T3J4W8,(403) 777-7195
0537,Battalion Park School,369 Sienna Park Dr SW,,Calgary,AB,T3H4S2,(403) 777-7187
0538,Monterey Park School,7400 California Blvd NE,,Calgary,AB,T1Y6R2,(403) 777-7233
0574,Red Deer Regional Hospital Education Program,4747 - 53 Street, ,Red Deer,AB,T4N2E6,(403) 343-4639
0575,Wintering Hills,435A Highway 1,,Strathmore,AB,T1P1J4,(403) 934-5121
0576,Westwind Alternate School,P.O. Box 2129,,Cardston,AB,T0K0K0,(403) 653-1547
0577,Columbus Academy,"Centre 170, Suite 145","
10403 - 172 St",Edmonton,AB,T5S1K9,(780) 440-0708
0580,Neu Muehl Colony School,c/o Box 670,,Hanna,AB,T0J1P0,(403) 820-1336
0581,Bishop O'Byrne High School,Suite 500,"
333 Shawville Boulevard S.E.",Calgary,AB,T2Y4H3,(403) 500-2103
0585,Palliser Beyond Borders at Vulcan,PO Box 1149,,Vulcan,AB,T0L2B0,(403) 485-6180
0586,Bentley Colony School,28414 TWP Rd 400,,Lacombe County,AB,T4M0S6,(403) 885-5245
0587,St. Mary's College,c/o Linda Jacejko,"
4820 - 46 Street",Vermilion,AB,T9X1G2,
0588,St. Elizabeth Seton,10845 Hidden Valley Drive,,Calgary,AB,T3A6K3,(403) 500-2105
0589,Monsignor J. J. O'Brien,99 Bridlewood Road SW,,Calgary,AB,T2Y4J5,(403) 500-2104
0590,Peace Wapiti Academy,11410 - 104 Street,,Grande Prairie,AB,T8V2Z1,(780) 513-9504
0591,Codesa Hutterite Colony School,P.O. Box 210,,Eaglesham,AB,T0H1H0,(780) 864-5305
0592,Mountainview School,435A Highway1,,Strathmore,AB,T1P1J4,(403) 934-5121
0593,Sacred Heart Academy,709 - 2nd Street,,Strathmore,AB,T1P1B8,(403) 901-1544
0594,Our Lady of the Snows Catholic Academy,3100A Stewart Creek Drive,,Canmore,AB,T1W3M6,(403) 609-3699
0595,St. Mary's Elementary School,5207 42 St,,Lloydminster,AB,T9V1M8,(780) 808-8600
0596,Douglasdale School,400 Douglas Park Blvd SE,,Calgary,AB,T2Z4A3,(403) 777-6177
0597,Scenic Acres School,50 Scurfield Way NW,,Calgary,AB,T3L1T2,(403) 777-6193
0598,Our Lady of Lourdes,1916 2nd Street SW,,Calgary,AB,T2S1S3,(403) 500-2002
0655,Elves Adult & Youth Centre,10825 - 142 Street,,Edmonton,AB,T5N3Y7,(780) 454-5310
0658,Connect Society's Early Childhood Services,"6240-113 Street, N.W.",,Edmonton,AB,T6H3L2,(780) 454-9581
0660,Strathmore High School,100 Brent Boulevard,,Strathmore,AB,T1P1V2,(403) 934-3135
0665,Dewberry School ECS,Box 1286,,Dewberry,AB,T0B1G0,(780) 847-3051
0677,Kitscoty & District Early Childhood Education Kindergarten,P.O. Box 405,,Kitscoty,AB,T0B2P0,(780) 846-2212
0681,Londonderry Child Development Society,13931-140 Street,,Edmonton,AB,T6V1J7,(780) 473-7216
0684,Southview Child Care,3650 - 91 Street NW,,Edmonton,AB,T6E6P1,(780) 436-1823
0688,Norwood Child & Family Resource Centre,9516 114 Avenue,,Edmonton,AB,T5G0K7,(780) 471-3737
0700,Sherwood Park Kindergarten,105 Main Terrace,,Sherwood Park,AB,T8A0R7,(780) 467-5644
0747,Hay Lakes School ECS,P.O. Box 224,,Hay Lakes,AB,T0B1W0,(780) 878-3368
0765,Sedgewick ECS Portable,P.O. Box 466,,Sedgewick,AB,T0B4C0,(780) 385-1610
0770,K-C Community Services,4725 - 43 Street,,Sylvan Lake,AB,T4S1M3,(403) 887-5330
0777,Children's House Day Care,1215 - 4 Avenue S.,,Lethbridge,AB,T1J0P9,(403) 328-5553
0793,The Little Schoolhouse,P.O. Box 226,,Bragg Creek,AB,T0L0K0,(403) 949-3939
0796,Calgary French & International School,700 - 77 Street S.W.,,Calgary,AB,T3H5R1,(403) 240-1500
0850,Glamorgan Community Kindergarten Society,4715 - 45 Street SW,,Calgary,AB,T3E3W5,(403) 249-5275
0889,Lomond School ECS,P.O. Box 177,,Lomond,AB,T0L1G0,(403) 394-3688
0913,Schuler School Early Childhood Services,20 1st Avenue W,,Schuler,AB,T0J3B0,(403) 839-3732
0941,Thornhill Community Building Early Childhood Society,6617 Centre Street N.,,Calgary,AB,T2K4Y5,(403) 274-2335
0955,Jenner School,Box 64,,Jenner,AB,T0J1W0,(403) 898-3926
0975,Warren Peer School ECS,P.O Box 132,,Acadia Valley,AB,T0J0A0,(403) 972-2163
0992,Early Discoveries Childhood Services,PO BOX 27074 Tuscany PO ,,Calgary,AB,T3L2Y1,(403) 239-3444
0994,Blue Ridge Colony School,Box 10,,Cardston,AB,T0K0K0,(403) 626-2397
0995,History Re-Registration,10044 - 108 Street,,Edmonton,AB,T5J5E6,
0996,August Departmental Exam,10044 - 108 Street,,Edmonton,AB,T5J5E6,
0999,Departmental Evaluation,10044 - 108 Street,,Edmonton,AB,T5J5E6,
1003,Jackson Heights Elementary,"311 Jackson Rd., N.W.",,Edmonton,AB,T6L7H2,(780) 465-9797
1004,George P. Nicholson School,1120 - 113 Street,,Edmonton,AB,T6J7J4,(780) 439-9314
1006,Edmonton Khalsa School,3945 34 Street NW,"
Box No 92135",Edmonton,AB,T6T1N1,(780) 450-8753
1008,Headway School Society of Alberta,10435-76 Street NW,,Edmonton,AB,T6A3B1,(780) 757-3456
1014,Ecole de La Source,360 - 94 Avenue S.E.,,Calgary,AB,T2J0E8,(403) 255-6724
1015,Calgary Academy Collegiate,1677 - 93rd Street S.W.,,Calgary,AB,T3H0R3,(403) 686-6444
1016,NorthStar Academy,Box 2220,,Didsbury,AB,T0M0W0,(403) 335-9587
1017,Drayton Valley Community Outreach School,5056-50th Avenue,,Drayton Valley,AB,T7A1R6,(780) 542-1551
1020,Alberta Chung Wah School,"#270, 328 Centre Street S.E.",,Calgary,AB,T2G4X8,(403) 271-8033
1021,Beyond Walls Outreach School,299 College Drive SE,,Medicine Hat,AB,T1A3Y6,(403) 526-4156
1022,Learning Store West Edmonton,9532 - 163 Street NW,,Edmonton,AB,T5P3M7,(780) 443-8072
1024,St. John Bosco,7411 - 161A Ave NW,,Edmonton,AB,T5Z3V4,(780) 471-3140
1025,Father Michael Troy Catholic Junior High School,3630 23 St NW,,Edmonton,AB,T6T1W7,
1026,Archbishop Joseph MacNeil Catholic Elementary/Junior High School,750 Leger Way NW,,Edmonton,AB,T6R3H4,
1027,St. Teresa of Calcutta Elementary School,9008 - 105A Ave NW,,Edmonton,AB,T5H4P9,(780) 471-3631
1028,St. Oscar Romero Catholic High School,17760 - 69 Ave NW,,Edmonton,AB,T5T6X3,(780) 428-2705
1029,St. Gabriel the Archangel,197 Invermere Drive,,Chestermere,AB,T1X1M7,(403) 500-2110
1030,Bearspaw School,253210 Bearspaw Road,,Calgary,AB,T3L2S5,(403) 239-9607
1032,Corbett Hall Early Education Program,2-70 Corbett Hall,"
University of Alberta",Edmonton,AB,T6G2G4,(780) 492-5081
1033,Bluegrass Colony School,6302 - 56 Street,,Taber,AB,T1G1Z9,(403) 642-3693
1037,Vermilion and Area Brighter Beginnings,4820 - 46 Street,,Vermilion,AB,T9X1G2,(780) 853-6633
1038,Coventry Hills School,12350 Coventry Hills Way NE,,Calgary,AB,T3K5S9,(403) 777-6025
1039,Fireweed Education Centre,Edmonton Institution for Women,"
11151 - 178 Street",Edmonton,AB,T5S2H9,(780) 495-7569
1040,Wolf Creek Academy,5414 - 50 Street (North Entran,,Lacombe,AB,T4L1G4,(403) 782-3564
1042,Prairie Waters Elementary School,201 Invermere Drive,,Chestermere,AB,T1X1M6,(403) 285-6969
1043,Alberta Learning - Self Registrations,10044 - 108 Street,,Edmonton,AB,T5J5E6,
1045,Cleardale Colony School,210 Alberta Way,,Worsley,AB,T0H3W0,(780) 685-3842
1048,Yufeng Chinese School,169 Citadel Ridge Close NW,,Calgary,AB,T3G4V5,(403) 681-8617
1050,Ecole Desrochers,302 Elm Avenue,,Jasper,AB,T0E1E0,(780) 852-1119
1051,Breaking Point Colony School,Box 488,,Manning,AB,T0H2M0,(780) 836-4236
1053,Colonel Sanders School,226 Northmount Dr NW,,Calgary,AB,T2K3G5,(403) 777-6034
1054,Piitoayis Family School,1921 9 Ave SE,,Calgary,AB,T2G0V3,(403) 777-7860
1055,Horizon Group Care,#105 10720  117 Avenue ,"
",Grande Prairie,AB,T8V7N7,(780) 568-2607
1058,Grimmon House,c/o Marcie Perdue,"
4905 - 50 Street",Innisfail,AB,T4G1W4,(403) 335-4822
1059,Students On Line,5110 46 St,,Vermilion,AB,T9X1G5,(780) 853-2111
1060,Ecole Notre-Dame des Monts,3100B Stewart Creek Drive,,Canmore,AB,T1W3M6,(403) 609-0002
1062,Lead Foundation,Suite 209,"
5271 Memorial Drive SE",Calgary,AB,T2A4V1,(403) 270-7912
1063,Mattie McCullough Elementary School,26 Lawford Avenue,,Red Deer,AB,T4R3L6,(403) 343-8958
1064,CBe-learn,2336 53 Avenue SW,,Calgary,AB,T3E1L2,(403) 777-7971
1067,Livingstone Range Summer School,Box 1810,"
410 20 Street",Fort Macleod,AB,T0L0Z0,(403) 625-3356
1075,STAR Catholic Outreach School,PO Box 6063,"
Leduc PO Main",Leduc,AB,T9E2A2,(780) 980-0955
1076,MHHS Gateway School,P.O. Box 1090,"
714b Main Street",Pincher Creek,AB,T0K1W0,(403) 625-3356
1077,Green Acres School,c/o Golden Hills School Div.,"
435A Highway 1",Strathmore,AB,T1P1J4,(403) 934-5121
1096,Polish Sienkiewicz School,P.O.Box78076,"
RPO Callingwood",Edmonton,AB,T5t6A1,(780) 439-5916
1097,G. S. Lakie Middle School,50 Blackfoot Blvd. West,,Lethbridge,AB,T1K7N7,(403) 327-3465
1098,Valley Creek School,10951 Hidden Valley Dr NW,,Calgary,AB,T3A6J2,(403) 777-7995
1099,Somerset School,150 Somerset Manor SW,,Calgary,AB,T2Y4S2,
1100,Armada Colony School,6302 - 56 Street,,Taber,AB,T1G1Z9,(403) 792-2346
1101,Beaverlodge Regional High School,P.O. Bag 700,,Beaverlodge,AB,T0H0C0,(780) 354-2189
1102,Beaverlodge Elementary School,P.O. Bag 1500,,Beaverlodge,AB,T0H0C0,(780) 354-2446
1103,Bezanson School,General Delivery,,Bezanson,AB,T0H0G0,(780) 532-6490
1104,Elmworth School,Box 24,,Elmworth,AB,T0H1J0,(780) 354-8375
1105,Harry Balfour School,10815 - 104 Street,,Grande Prairie,AB,T8V6R2,(780) 532-9276
1107,La Glace School,P.O. Box 90,,La Glace,AB,T0H2J0,(780) 568-2430
1108,Sexsmith Secondary School,P.O. Bag 5000,,Sexsmith,AB,T0H3C0,(780) 568-3642
1109,Teepee Creek School,"R.R. 2, Site 1, P.O. Box 4",,Sexsmith,AB,T0H3C0,(780) 568-2265
1111,Helen E. Taylor School,P.O. Bag 59,,Wembley,AB,T0H3S0,(780) 766-9103
1112,Robert W. Zahara Public School,P.O. Box 3900,,Sexsmith,AB,T0H3C0,(780) 568-3823
1113,Wembley Elementary School,Box 550,,Wembley,AB,T0H3S0,(780) 766-2294
1114,Delco Colony School,6302 - 56 Street,,Taber,AB,T1G1Z9,(403) 222-2217
1115,Hythe Regional School,P.O. Box 420,,Hythe,AB,T0H2C0,(780) 356-3934
1116,Grandview Colony School,723042 Range Road 74,,County of Grande Prairie,AB,T8X4L1,(780) 532-9502
1117,Langdon School,17 Brander Ave NW,,Langdon,AB,T0J1X2,(403) 936-4579
1118,St. Clare,"12455 Coventry Hills Way, N.E.",,Calgary,AB,T3K5Z4,(403) 500-2102
1119,St. Brigid,"730 Citadel Way, N.W.",,Calgary,AB,T3G5S6,(403) 500-2113
1121,Holy Family Catholic School,P.O. Box 70,,Waskatenau,AB,T0A3P0,(780) 358-2332
1122,Lathom Colony School,PO Box 1229,,Bassano,AB,T0J0B0,
1123,St. Francis of Assisi,321 Lindsay Avenue,,Red Deer,AB,T4R3M1,(403) 314-1449
1124,St. Marguerite Bourgeoys,4453 - 51 Avenue,,Innisfail,AB,T4G1A7,(403) 227-2123
1125,Juno Beach Academy of Canadian Studies,315 - 86 Avenue SE,,Calgary,AB,T2H1Z2,(403) 777-7210
1126,Calgary Arts Academy,640 14th Avenue S.E.,,Calgary,AB,T2G1E8,(403) 532-3020
1127,Mother Earth's Children's Charter School,"RR1, Site 2, Box 42",,Warburg,AB,T0C2T0,(780) 702-7531
1128,Calgary Girls Charter School,6304 Larkspur Way S.W.,,Calgary,AB,T3E5P7,(403) 220-0745
1129,Horizon MAP School,P.O. Box 287,,Vauxhall,AB,T0K2K0,(403) 654-4654
1130,St. Gregory Catholic School,190 Rispler Way,,Hinton,AB,T7V2G1,(780) 865-4555
1131,Heritage Heights School,30 - 32156 Hwy 552 East,,Foothills,AB,T1S4Z1,(403) 938-1400
